Delay time,Estimated Surface (sq m),Estimated Height (m),Floors,Num of Workers,Bad Weather Factor (%),Design Variation Factor (%),Material Factor (%),Gov Regulation Factor (%),Site Condition Factor (%)
6,1589,19,4,32,0.24,0.32,0.01,0.85,0.64
489,1334,14,2,19,0.24,0.24,0.7,0.88,0.85
29,1273,10,2,68,0.24,0.4,0.04,0.04,0.14
134,866,25,2,67,0.24,0.16,0.0,0.61,0.31
143,444,8,1,118,0.24,0.4,0.01,0.45,0.32
2,248,22,3,88,0.24,0.16,0.03,0.03,0.3
104,35,21,6,118,0.24,0.24,0.16,0.49,0.58
5,1107,28,1,116,0.24,0.24,0.03,0.48,0.21
142,2874,5,6,141,0.24,0.24,0.01,0.42,0.32
142,133,17,6,126,0.24,0.24,0.0,0.7,0.32
18,1936,23,2,85,0.24,0.4,0.03,0.12,0.13
9,2491,17,6,128,0.24,0.48,0.01,0.44,0.11
26,2491,16,6,142,0.24,0.16,0.04,0.97,0.14
19,99,5,5,16,0.24,0.4,0.01,0.62,0.13
9,2565,26,4,91,0.24,0.08,0.0,0.96,0.11
4,372,19,2,101,0.24,0.4,0.03,0.94,0.11
4,678,20,4,75,0.24,0.32,0.02,0.51,0.07
10,107,15,1,148,0.24,0.16,0.02,0.99,0.12
140,787,8,4,76,0.24,0.64,0.02,0.95,0.32
143,438,9,1,84,0.24,0.24,0.02,0.49,0.25
19,1126,11,3,129,0.24,0.48,0.04,0.26,0.13
69,1155,15,2,35,0.24,0.32,-0.08,0.3,0.21
146,2535,15,6,95,0.24,0.16,-0.0,0.37,0.32
11,797,27,2,29,0.24,0.32,0.04,0.87,0.88
77,90,6,3,34,0.24,0.4,0.12,0.92,0.22
3,2569,21,3,118,0.24,0.4,0.02,0.2,0.1
137,114,25,3,73,0.24,0.4,0.01,0.38,0.31
18,2038,7,6,86,0.24,0.16,0.03,0.48,0.13
24,1092,17,6,10,0.24,0.4,0.04,0.7,0.14
4,339,15,4,76,0.24,0.24,0.02,0.54,0.03
1,2209,25,5,104,0.24,0.32,0.06,0.31,0.75
8,2906,24,2,55,0.24,0.32,0.03,0.71,0.11
5,1999,10,1,60,0.24,0.16,0.02,0.24,0.11
14,1318,23,3,121,0.24,0.24,0.03,0.08,0.12
143,1436,24,2,116,0.24,0.24,-0.01,0.35,0.32
8,1178,18,4,28,0.24,0.64,0.06,0.51,0.11
26,2220,27,5,19,0.24,0.32,0.03,0.7,0.14
1,319,30,5,107,0.24,0.16,0.01,0.35,0.79
87,114,28,4,94,0.24,0.24,0.12,0.39,0.87
126,1057,18,1,145,0.24,0.76,0.03,0.14,0.29
143,1588,24,5,67,0.24,0.4,0.01,0.52,0.79
1,874,27,4,132,0.24,0.16,0.04,0.93,0.1
140,1086,30,2,66,0.24,0.76,0.03,0.11,0.32
114,768,13,6,146,0.24,0.48,0.04,0.1,0.28
56,606,11,1,72,0.24,0.4,0.08,0.33,0.19
22,2045,30,6,140,0.24,0.48,0.03,0.57,0.57
1,2125,30,4,120,0.24,0.4,0.02,0.91,0.1
